order_id,order_date,amount,product_id
ORD100144,2024-04-15,116.73,31
ORD100145,2024-05-26,23.87,39
ORD100146,2024-11-15,115.22,37
ORD100147,2023-01-25,30.07,26
ORD100148,2024-12-25,89.03,33
ORD100149,2023-02-06,38.89,16
ORD100150,2024-07-04,20.83,30
ORD100151,2023-11-18,188.46,29
ORD100152,2024-06-16,140.55,5
ORD100153,2024-02-12,13.1,7
ORD100154,2023-11-04,11.19,31
ORD100155,2023-06-10,97.47,26
ORD100156,2023-02-16,86.32,42
ORD100157,2024-05-01,20.62,44
ORD100158,2024-02-19,169.29,22
ORD100159,2024-05-07,28.25,11
ORD100160,2023-09-26,23.21,13
ORD100161,2024-10-02,46.51,14
ORD100162,2023-02-12,26.02,30
ORD100163,2024-05-13,75.55,6
ORD100164,2023-09-01,19.73,20
ORD100165,2023-12-21,145.95,13
ORD100166,2024-10-18,59.25,6
ORD100167,2024-09-14,32.15,11
ORD100168,2023-01-25,51.56,44
ORD100169,2024-11-06,19.32,41
ORD100170,2023-10-27,96.76,14
ORD100171,2024-05-20,289.4,38
ORD100172,2023-12-02,114.86,24
ORD100173,2023-10-17,103.51,10
ORD100174,2023-09-13,39.44,23
ORD100175,2024-09-15,140.89,1
ORD100176,2024-06-14,126.64,30
ORD100177,2023-04-12,77.9,6
ORD100178,2024-02-27,44.8,9
ORD100179,2024-09-20,41.26,23
ORD100180,2024-05-03,11.63,28
ORD100181,2023-07-01,232.35,25
ORD100182,2023-07-01,137.6,11
ORD100183,2024-07-30,13.55,35
ORD100184,2023-05-31,20.59,41
ORD100185,2023-02-20,142.61,42
ORD100186,2023-11-23,32.74,6
ORD100187,2024-09-20,84.99,16
ORD100188,2024-01-12,29.16,40
ORD100189,2023-03-27,91.63,29
ORD100190,2024-03-17,150.17,45
ORD100191,2023-07-02,70.24,3
ORD100192,2023-08-24,67.43,47
ORD100193,2024-05-22,50.09,38
ORD100194,2024-10-25,14.89,47
ORD100195,2024-12-01,11.75,4
ORD100196,2024-09-12,115.97,46
ORD100197,2024-03-17,190.44,37
ORD100198,2024-06-15,16.17,31
ORD100199,2024-12-02,55.87,14
ORD100200,2023-09-08,214.55,28
ORD100201,2023-10-14,57.39,25
ORD100202,2024-08-24,145.86,27
ORD100203,2024-09-18,29.82,34
ORD100204,2023-08-20,86.05,21
ORD100205,2023-11-12,76.68,42
ORD100206,2023-12-03,120.05,47
ORD100207,2024-12-08,29.23,34
ORD100208,2023-03-17,259.84,30
ORD100209,2024-02-12,11.55,32
ORD100210,2024-04-08,41.59,4
ORD100211,2024-10-15,56.71,24
ORD100212,2024-04-07,76.69,36
ORD100213,2024-12-18,69.25,15
ORD100214,2023-10-20,192.12,23
ORD100215,2023-01-12,35.61,15
ORD100216,2024-03-01,19.31,27
ORD100217,2023-03-03,166.32,11
ORD100218,2023-05-21,298.31,49
ORD100219,2024-04-28,175.8,22
ORD100220,2023-06-24,116.87,10
ORD100221,2024-07-28,40.44,42
ORD100222,2024-07-21,23.82,50
ORD100223,2024-02-21,97.81,42
ORD100224,2024-02-23,33.02,22
ORD100225,2023-05-23,92.21,50
ORD100226,2023-07-26,31.81,46
ORD100227,2024-06-22,14.17,38
ORD100228,2023-02-01,35.21,9
ORD100229,2023-02-12,43.09,4
ORD100230,2024-07-16,71.03,43
ORD100231,2023-10-05,16.52,40
ORD100232,2023-10-14,16.26,12
ORD100233,2023-10-03,36.01,36
ORD100234,2023-03-25,29.79,37
ORD100235,2024-01-24,33.26,26
ORD100236,2023-10-09,122.04,37
ORD100237,2023-06-26,80.26,14
ORD100238,2023-02-10,81.59,19
ORD100239,2023-04-04,120.1,26
ORD100240,2024-01-14,76.36,37
ORD100241,2023-06-10,95.97,8
ORD100242,2023-01-14,219.89,38
ORD100243,2024-05-01,76.32,42
ORD100244,2023-12-30,21.53,49
ORD100245,2023-07-07,40.09,35
ORD100246,2023-07-29,27.29,50
ORD100247,2023-03-14,58.68,6
ORD100248,2024-02-15,100.47,31
ORD100249,2024-05-12,196.07,35
ORD100250,2024-10-20,132.51,25
ORD100251,2024-10-06,222.62,22
ORD100252,2023-10-29,48.51,1
ORD100253,2024-02-06,61.3,46
ORD100254,2024-01-06,48.11,15
ORD100255,2024-03-18,99.85,25
ORD100256,2023-03-13,146.28,33
ORD100257,2023-02-16,232.72,48
ORD100258,2024-06-28,224.07,32
ORD100259,2024-08-06,46.94,13
ORD100260,2023-02-24,37.37,49
ORD100261,2024-03-11,13.55,32
ORD100262,2023-11-23,55.69,40
ORD100263,2023-12-10,32.73,16
ORD100264,2024-08-27,24.1,35
ORD100265,2023-08-05,88.66,39
ORD100266,2024-02-20,240.64,43
ORD100267,2023-09-15,66.13,21
ORD100268,2023-05-29,166.36,6
ORD100269,2023-06-24,97.66,23
ORD100270,2024-01-13,15.28,24
ORD100271,2023-04-26,14.02,19
ORD100272,2023-07-29,14.25,21
ORD100273,2024-01-06,61.81,5
ORD100274,2023-05-27,23.55,10
ORD100275,2023-05-10,47.44,16
ORD100276,2024-08-27,207.41,13
ORD100277,2024-01-21,12.2,37
ORD100278,2023-03-01,70.37,13
ORD100279,2023-06-24,98.78,40
ORD100280,2024-07-04,149.66,29
ORD100281,2023-12-29,199.04,31
ORD100282,2024-07-22,42.69,36
ORD100283,2023-06-02,53.7,2
ORD100284,2024-05-17,61.0,34
ORD100285,2023-09-09,49.36,2
ORD100286,2024-06-26,14.22,44
ORD100287,2024-11-08,71.7,2
ORD100288,2024-08-06,110.3,8
ORD100289,2024-03-03,332.14,10
ORD100290,2024-09-21,13.72,7
ORD100291,2023-07-11,18.71,42
ORD100292,2024-12-22,102.94,32
ORD100293,2024-09-02,53.33,39
ORD100294,2023-05-30,208.47,26
ORD100295,2024-12-05,96.06,13
ORD100296,2023-08-09,43.83,50
ORD100297,2023-12-26,31.24,42
ORD100298,2024-04-12,47.87,27
ORD100299,2023-12-21,114.56,31
ORD100300,2023-08-25,260.86,23
ORD100301,2023-12-22,18.89,30
ORD100302,2024-04-13,94.83,23
ORD100303,2023-04-16,62.38,3
ORD100304,2023-06-13,174.97,12
ORD100305,2023-04-08,49.87,25
ORD100306,2023-11-03,47.27,50
ORD100307,2024-04-06,173.21,37
ORD100308,2023-12-04,91.53,30
ORD100309,2024-01-03,104.36,47
ORD100310,2023-11-09,99.99,6
ORD100311,2024-08-22,15.32,5
ORD100312,2024-12-09,19.27,46
ORD100313,2024-02-04,17.74,50
ORD100314,2023-05-11,41.76,12
ORD100315,2023-01-06,163.33,16
ORD100316,2023-06-27,19.5,46
ORD100317,2024-03-11,42.74,8
ORD100318,2023-01-20,27.19,17
ORD100319,2024-07-16,53.25,5
ORD100320,2024-01-29,45.73,1
ORD100321,2024-07-15,98.95,47
ORD100322,2024-06-18,229.75,41
ORD100323,2023-08-30,31.75,42
ORD100324,2024-10-02,50.55,39
ORD100325,2024-07-17,21.8,22
ORD100326,2023-09-25,73.73,1
ORD100327,2024-08-04,98.02,9
ORD100328,2023-06-07,54.97,6
ORD100329,2024-02-01,145.04,23
ORD100330,2023-02-19,119.58,26
ORD100331,2023-08-14,126.26,45
ORD100332,2024-03-22,111.52,3
ORD100333,2023-10-02,281.6,49
ORD100334,2024-01-17,30.11,2
ORD100335,2024-02-19,71.37,46
ORD100336,2024-01-22,51.21,28
ORD100337,2023-03-20,22.75,22
ORD100338,2023-03-08,51.57,48
ORD100339,2023-03-16,158.54,29
ORD100340,2024-07-21,19.48,23
ORD100341,2023-05-10,58.4,27
ORD100342,2024-10-01,45.92,12
ORD100343,2023-11-08,49.86,25
ORD100344,2024-08-26,146.07,12
ORD100345,2023-01-28,95.54,47
ORD100346,2023-11-23,62.43,6
ORD100347,2024-04-17,15.75,43
ORD100348,2023-02-08,146.34,2
ORD100349,2024-11-18,33.55,30
ORD100350,2024-08-29,53.32,41
ORD100351,2024-12-12,25.52,2
ORD100352,2023-06-22,356.5,50
ORD100353,2024-08-23,26.5,38
ORD100354,2023-06-25,64.21,23
ORD100355,2023-01-27,86.55,33
ORD100356,2023-03-17,21.52,45
ORD100357,2024-02-18,62.91,49
ORD100358,2023-05-31,41.25,24
ORD100359,2024-03-06,32.62,15
ORD100360,2023-08-31,69.08,43
ORD100361,2023-12-14,296.87,50
ORD100362,2023-10-24,46.63,9
ORD100363,2024-07-13,41.02,49
ORD100364,2024-10-07,17.24,3
ORD100365,2024-12-01,13.5,44
ORD100366,2024-08-29,16.3,13
ORD100367,2023-01-02,56.78,45
ORD100368,2024-04-05,104.26,26
ORD100369,2023-02-02,117.17,24
ORD100370,2023-10-25,14.49,8
ORD100371,2023-08-31,262.98,5
ORD100372,2024-02-15,22.19,22
ORD100373,2023-06-02,17.36,47
ORD100374,2024-01-26,29.68,43
ORD100375,2024-04-09,21.15,14
ORD100376,2023-11-16,15.29,11
ORD100377,2023-10-13,138.42,44
ORD100378,2024-04-27,83.06,40
ORD100379,2024-12-05,150.68,32
ORD100380,2023-03-26,94.69,20
ORD100381,2023-05-30,62.2,8
ORD100382,2023-07-03,61.87,19
ORD100383,2023-07-12,17.97,2
ORD100384,2023-09-01,22.75,41
ORD100385,2024-03-21,280.51,39
ORD100386,2023-07-18,53.83,39
ORD100387,2024-08-09,18.29,38
ORD100388,2023-01-06,77.0,11
ORD100389,2023-05-12,121.75,38
ORD100390,2023-10-07,222.41,17
ORD100391,2023-09-01,96.98,36
ORD100392,2024-02-29,183.02,32
ORD100393,2023-07-04,15.54,25
ORD100394,2023-10-29,31.32,7
ORD100395,2023-01-22,195.23,50
ORD100396,2024-09-21,36.2,11
ORD100397,2024-06-29,238.66,20
ORD100398,2023-05-09,11.02,7
ORD100399,2024-12-19,403.06,11
ORD100400,2023-04-02,23.0,43
ORD100401,2024-09-28,58.5,27
ORD100402,2024-05-14,189.76,45
ORD100403,2024-09-05,160.8,14
ORD100404,2023-01-01,36.54,16
ORD100405,2023-09-21,18.33,26
ORD100406,2023-09-05,110.64,7
ORD100407,2024-10-08,80.4,7
ORD100408,2023-06-06,219.56,42
ORD100409,2024-02-03,80.89,2
ORD100410,2024-12-22,77.4,8
ORD100411,2024-10-10,13.96,5
ORD100412,2024-07-14,44.95,16
ORD100413,2024-10-05,230.98,40
ORD100414,2024-10-09,18.0,12
ORD100415,2024-03-30,198.86,23
ORD100416,2024-12-20,33.11,34
ORD100417,2024-07-04,109.41,28
ORD100418,2023-12-01,30.18,21
ORD100419,2024-07-25,22.47,16
ORD100420,2024-02-13,77.79,27
ORD100421,2023-12-26,106.84,8
ORD100422,2023-11-27,78.57,32
ORD100423,2024-03-10,43.78,29
ORD100424,2023-07-03,44.45,37
ORD100425,2023-11-30,16.74,22
ORD100426,2024-06-25,10.47,29
ORD100427,2024-10-25,74.02,48
ORD100428,2024-01-04,27.85,7
ORD100429,2024-08-17,166.9,40
ORD100430,2023-03-31,11.71,14
ORD100431,2024-09-27,38.24,43
ORD100432,2023-05-02,14.76,28
ORD100433,2023-12-01,28.93,44
ORD100434,2024-01-24,84.88,25
ORD100435,2023-03-17,173.32,40
ORD100436,2023-10-11,123.36,32
ORD100437,2024-09-14,89.13,4
ORD100438,2023-05-21,55.91,45
ORD100439,2023-04-05,70.69,49
ORD100440,2024-05-07,48.45,25
ORD100441,2024-02-18,45.93,7
ORD100442,2024-11-06,49.07,39
ORD100443,2024-05-21,165.29,3
ORD100444,2023-09-18,44.38,47
ORD100445,2023-03-23,170.95,46
ORD100446,2024-12-13,177.77,45
ORD100447,2024-10-16,161.6,10
ORD100448,2024-01-19,44.75,16
ORD100449,2024-02-21,53.88,25
ORD100450,2024-10-06,49.89,18
ORD100451,2023-06-12,31.78,47
ORD100452,2024-02-26,57.72,8
ORD100453,2024-10-13,24.63,25
ORD100454,2023-06-19,42.41,14
ORD100455,2024-05-04,247.45,19
ORD100456,2024-11-21,116.13,38
ORD100457,2024-04-01,26.63,33
ORD100458,2023-06-22,15.01,14
ORD100459,2024-04-30,168.55,15
ORD100460,2024-02-17,24.96,31
ORD100461,2024-10-03,60.13,44
ORD100462,2023-09-18,62.23,17
ORD100463,2024-04-08,22.62,33
ORD100464,2024-05-26,13.17,5
ORD100465,2024-11-12,80.21,48
ORD100466,2023-01-30,64.29,45
ORD100467,2023-06-30,60.14,6
ORD100468,2023-10-11,126.9,5
ORD100469,2024-03-13,129.0,8
ORD100470,2023-03-16,38.91,41
ORD100471,2024-06-01,36.87,25
ORD100472,2024-04-23,43.97,35
ORD100473,2023-03-10,151.0,4
ORD100474,2024-05-27,32.15,16
ORD100475,2023-07-04,76.9,32
ORD100476,2023-10-03,24.01,8
ORD100477,2024-11-04,119.02,14
ORD100478,2023-05-02,16.79,22
ORD100479,2024-08-25,89.2,22
ORD100480,2023-09-24,106.55,32
ORD100481,2023-08-04,107.77,1
ORD100482,2024-05-18,72.87,16
ORD100483,2024-03-18,11.95,5
ORD100484,2023-06-05,247.73,46
ORD100485,2023-09-26,39.26,32
ORD100486,2023-06-02,18.5,21
ORD100487,2024-08-05,58.6,47
ORD100488,2024-11-03,17.23,32
ORD100489,2023-12-16,44.19,35
ORD100490,2023-11-28,21.27,15
ORD100491,2024-08-16,77.92,31
ORD100492,2023-07-13,71.86,4
ORD100493,2023-07-10,87.78,9
ORD100494,2024-10-25,109.1,50
ORD100495,2023-07-19,155.94,36
ORD100496,2023-05-12,249.39,16
ORD100497,2023-04-17,52.82,24
ORD100498,2024-10-09,194.25,46
ORD100499,2024-05-22,82.98,5
ORD100500,2024-09-06,217.95,17
ORD100501,2024-07-08,74.23,13
ORD100502,2024-10-16,32.68,35
ORD100503,2024-01-16,141.48,36
ORD100504,2024-04-17,39.97,39
ORD100505,2024-11-23,39.86,28
ORD100506,2023-08-08,63.47,37
ORD100507,2023-08-04,263.82,2
ORD100508,2024-09-14,34.15,28
ORD100509,2024-12-16,113.23,15
ORD100510,2024-02-08,103.74,40
ORD100511,2023-08-14,27.72,10
ORD100512,2023-06-09,38.39,7
ORD100513,2023-09-30,78.14,36
ORD100514,2024-05-11,124.86,43
ORD100515,2024-09-10,25.09,15
ORD100516,2024-03-29,18.38,43
ORD100517,2023-04-28,160.1,35
ORD100518,2023-02-05,15.42,8
ORD100519,2023-05-18,262.98,35
ORD100520,2023-06-25,201.12,17
ORD100521,2024-02-10,157.16,21
ORD100522,2023-07-08,34.75,32
ORD100523,2024-07-23,93.35,43
ORD100524,2023-04-21,18.83,9
ORD100525,2024-08-13,48.5,21
ORD100526,2024-02-04,236.77,12
ORD100527,2024-09-08,151.94,22
ORD100528,2023-04-28,86.81,37
ORD100529,2024-02-15,31.98,22
ORD100530,2024-04-13,134.96,36
ORD100531,2024-05-28,62.08,48
ORD100532,2024-05-17,160.73,46
ORD100533,2024-12-09,162.28,3
ORD100534,2023-09-15,61.54,46
ORD100535,2024-03-15,122.21,20
ORD100536,2024-08-07,152.82,34
ORD100537,2024-11-19,51.82,27
ORD100538,2023-04-02,42.02,22
ORD100539,2023-08-24,33.16,26
ORD100540,2024-11-01,41.06,4
ORD100541,2023-01-06,15.27,35
ORD100542,2023-03-12,158.22,43
ORD100543,2023-04-28,26.97,31
ORD100544,2024-12-13,109.36,28
ORD100545,2023-08-22,83.92,7
ORD100546,2023-04-02,112.1,41
ORD100547,2024-01-16,48.18,3
ORD100548,2023-12-04,29.65,21
ORD100549,2024-11-02,344.61,45
ORD100550,2024-07-28,171.06,32
ORD100551,2023-02-07,35.46,28
ORD100552,2023-04-16,150.32,16
ORD100553,2023-11-18,41.28,5
ORD100554,2023-01-09,94.98,22
ORD100555,2024-06-13,129.31,33
ORD100556,2024-05-02,142.81,29
ORD100557,2024-10-29,63.7,21
ORD100558,2023-05-10,28.19,41
ORD100559,2023-06-07,95.24,41
ORD100560,2024-03-07,10.92,31
ORD100561,2024-11-09,110.71,46
ORD100562,2023-03-17,36.45,32
ORD100563,2024-03-11,42.5,21
ORD100564,2023-02-11,170.25,30
ORD100565,2023-09-04,146.82,38
ORD100566,2023-04-23,135.32,43
ORD100567,2024-02-19,11.83,9
ORD100568,2024-05-13,54.03,29
ORD100569,2024-07-05,22.15,2
ORD100570,2023-07-02,99.32,8
ORD100571,2024-04-08,425.12,44
ORD100572,2023-08-14,206.08,37
ORD100573,2024-05-01,30.55,6
ORD100574,2024-04-21,40.85,12
ORD100575,2024-05-10,144.62,9
ORD100576,2024-08-16,23.37,50
ORD100577,2024-08-01,111.48,16
ORD100578,2023-12-05,143.49,21
ORD100579,2024-07-16,37.25,39
ORD100580,2024-10-02,31.93,50
ORD100581,2024-08-16,76.12,26
ORD100582,2023-10-26,299.9,31
ORD100583,2024-10-16,69.2,11
ORD100584,2023-08-01,78.65,2
ORD100585,2023-05-30,10.73,33
ORD100586,2023-03-19,40.79,15
ORD100587,2024-04-20,27.1,17
ORD100588,2024-08-05,40.4,42
ORD100589,2024-11-17,50.0,39
ORD100590,2023-02-13,44.44,44
ORD100591,2024-03-12,28.49,26
ORD100592,2024-12-30,86.46,40
ORD100593,2023-08-31,12.56,28
ORD100594,2023-06-17,22.48,49
ORD100595,2024-01-26,32.87,4
ORD100596,2024-01-28,123.11,34
ORD100597,2024-04-21,49.71,19
ORD100598,2023-05-18,210.42,45
ORD100599,2024-05-21,18.65,26
ORD100600,2023-05-13,151.54,3
ORD100601,2024-09-11,120.04,11
ORD100602,2024-07-19,155.86,18
ORD100603,2024-10-31,10.62,14
ORD100604,2023-02-08,42.99,47
ORD100605,2024-10-04,33.03,10
ORD100606,2023-10-25,12.87,9
ORD100607,2023-02-20,51.49,36
ORD100608,2024-03-22,120.4,23
ORD100609,2024-02-23,16.71,17
ORD100610,2023-07-18,266.14,1
ORD100611,2024-03-25,40.81,8
ORD100612,2023-05-17,75.32,31
ORD100613,2023-05-22,48.6,7
ORD100614,2024-03-03,109.8,40
ORD100615,2023-12-30,41.82,45
ORD100616,2024-01-14,129.34,27
ORD100617,2024-04-28,122.88,4
ORD100618,2024-07-21,19.76,49
ORD100619,2024-08-26,27.17,33
ORD100620,2024-09-18,43.95,46
ORD100621,2024-07-08,27.05,18
ORD100622,2024-02-22,78.3,9
ORD100623,2024-07-23,80.09,6
ORD100624,2023-03-10,151.94,49
ORD100625,2024-05-29,113.45,9
ORD100626,2023-04-09,72.29,34
ORD100627,2024-02-01,102.06,9
ORD100628,2024-06-22,18.48,36
ORD100629,2024-07-19,80.11,29
ORD100630,2023-02-16,28.42,49
ORD100631,2023-02-12,14.21,5
ORD100632,2023-07-03,101.62,5
ORD100633,2024-07-13,45.86,33
ORD100634,2024-02-07,179.93,1
ORD100635,2023-02-17,148.1,6
ORD100636,2023-10-28,65.55,29
ORD100637,2024-12-03,65.85,16
ORD100638,2024-11-27,35.15,20
ORD100639,2024-04-11,17.99,39
ORD100640,2024-08-11,173.61,19
ORD100641,2023-09-15,52.59,1
ORD100642,2023-05-19,164.31,10
ORD100643,2023-08-10,44.34,19
ORD100644,2024-04-05,287.32,27
ORD100645,2024-06-25,488.05,38
ORD100646,2023-09-10,26.42,46
ORD100647,2023-05-01,41.98,2
ORD100648,2023-07-21,63.13,14
ORD100649,2023-06-05,102.54,35
ORD100650,2024-07-08,76.7,49
ORD100651,2023-10-12,57.16,50
ORD100652,2023-09-09,13.08,25
ORD100653,2024-08-17,18.47,12
ORD100654,2024-01-03,136.31,42
ORD100655,2023-01-22,21.79,26
ORD100656,2023-12-23,105.6,44
ORD100657,2023-12-04,19.18,9
ORD100658,2024-11-23,57.53,7
ORD100659,2023-03-26,32.32,46
ORD100660,2023-01-11,187.52,21
ORD100661,2024-02-29,16.63,11
ORD100662,2023-07-28,70.56,38
ORD100663,2023-09-08,62.32,15
ORD100664,2023-01-30,22.52,14
ORD100665,2023-04-12,19.84,24
ORD100666,2024-04-29,20.37,42
ORD100667,2023-08-10,19.67,34
ORD100668,2024-06-26,53.6,19
ORD100669,2024-01-26,31.54,13
ORD100670,2023-03-07,20.02,35
ORD100671,2024-12-17,22.41,49
ORD100672,2023-04-10,73.43,6
ORD100673,2023-12-23,79.39,39
ORD100674,2024-11-04,67.95,41
ORD100675,2024-09-21,273.7,9
ORD100676,2023-02-26,29.94,14
ORD100677,2024-08-14,32.86,13
ORD100678,2024-03-07,72.9,48
ORD100679,2023-12-26,55.25,10
ORD100680,2024-03-16,22.34,36
ORD100681,2023-10-28,36.33,39
ORD100682,2024-01-02,19.8,27
ORD100683,2024-01-20,116.13,16
ORD100684,2024-09-07,81.93,34
ORD100685,2023-09-02,25.28,38
ORD100686,2024-04-28,137.83,13
ORD100687,2024-01-09,20.09,45
ORD100688,2023-09-11,39.41,26
ORD100689,2024-06-12,59.78,6
ORD100690,2024-10-28,31.25,25
ORD100691,2023-07-31,68.69,19
ORD100692,2024-11-24,86.64,24
ORD100693,2023-09-11,160.14,19
ORD100694,2023-09-28,133.8,37
ORD100695,2024-04-22,44.75,30
ORD100696,2024-12-01,18.31,46
ORD100697,2024-09-28,209.93,37
ORD100698,2023-04-25,138.39,33
ORD100699,2023-06-10,52.67,34
ORD100700,2024-04-13,90.71,3
ORD100701,2024-11-18,37.84,26
ORD100702,2024-09-01,140.64,29
ORD100703,2023-04-12,64.18,41
ORD100704,2024-07-09,138.18,20
ORD100705,2023-02-08,34.69,31
ORD100706,2023-04-11,107.47,13
ORD100707,2024-01-05,54.28,24
ORD100708,2024-03-28,106.28,17
ORD100709,2024-01-18,12.36,1
ORD100710,2023-01-16,22.99,3
ORD100711,2024-07-11,11.44,8
ORD100712,2023-10-10,153.64,7
ORD100713,2024-02-01,117.5,27
ORD100714,2023-02-23,64.42,35
ORD100715,2023-03-04,51.19,2
ORD100716,2024-05-05,25.35,20
ORD100717,2024-02-19,45.37,16
ORD100718,2023-11-30,156.08,35
ORD100719,2023-01-29,97.67,43
ORD100720,2024-09-09,83.38,33
ORD100721,2023-07-08,132.04,9
ORD100722,2024-02-01,99.81,26
ORD100723,2023-01-19,25.38,7
ORD100724,2024-03-05,16.98,29
ORD100725,2023-02-15,33.63,31
ORD100726,2024-07-07,51.77,20
ORD100727,2023-05-29,108.65,38
ORD100728,2024-06-14,16.16,39
ORD100729,2024-05-02,11.21,29
ORD100730,2024-08-14,151.59,20
ORD100731,2023-04-19,53.39,23
ORD100732,2023-02-22,36.71,29
ORD100733,2024-11-05,66.86,3
ORD100734,2023-02-04,123.75,47
